Time Distance Ego_vehicle_velocity Leading_vehicle_velocity
0.000000000000000000e+00 3.000000000000000000e+01 2.000000000000000000e+01 5.000000000000000000e+00
2.512562814070351536e-01 2.647887679604050248e+01 1.802814070351758957e+01 5.000000000000000000e+00
5.025125628140703071e-01 2.345319562637306987e+01 1.605628140703517914e+01 5.000000000000000000e+00
7.537688442211054607e-01 2.087294446483160471e+01 1.470442652940210593e+01 5.000000000000000000e+00
1.005025125628140614e+00 1.855750089730479857e+01 1.373504307703408323e+01 5.000000000000000000e+00
1.256281407035175768e+00 1.647912137520364695e+01 1.281764166341806366e+01 5.000000000000000000e+00
1.507537688442210921e+00 1.462457021692098813e+01 1.195357335402971266e+01 5.000000000000000000e+00
1.758793969849246075e+00 1.298030567991068907e+01 1.114391303427224855e+01 5.000000000000000000e+00
2.010050251256281229e+00 1.153255706342524789e+01 1.038939836252062143e+01 5.000000000000000000e+00
2.261306532663316382e+00 1.026741671975322312e+01 9.690372885683563808e+00 5.000000000000000000e+00
2.512562814070351536e+00 9.170945348897594940e+00 9.046737996076990029e+00 5.000000000000000000e+00
2.763819095477386689e+00 8.229287747006043929e+00 8.457918544458888022e+00 5.000000000000000000e+00
3.015075376884421843e+00 7.428795017957227742e+00 7.922846418922414813e+00 5.000000000000000000e+00
3.266331658291456996e+00 6.756148312341848872e+00 7.439965187655511514e+00 5.000000000000000000e+00
3.517587939698492150e+00 6.198478599062852368e+00 7.007257069372352376e+00 5.000000000000000000e+00
3.768844221105527303e+00 5.743476930621351784e+00 6.622291284315148019e+00 5.000000000000000000e+00
4.020100502512562457e+00 5.379490184156749955e+00 6.282290618075959010e+00 5.000000000000000000e+00
4.271356783919597611e+00 5.095598298285029415e+00 5.984211199524889224e+00 5.000000000000000000e+00
4.522613065326632764e+00 4.881670439505903403e+00 5.724829376437103434e+00 5.000000000000000000e+00
4.773869346733667918e+00 4.728399118050409022e+00 5.500829328379174044e+00 5.000000000000000000e+00
5.025125628140703071e+00 4.627312812518961316e+00 5.308885649826398989e+00 5.000000000000000000e+00
5.276381909547738225e+00 4.570768967815579842e+00 5.145736363995899509e+00 5.000000000000000000e+00
5.527638190954773378e+00 4.551930178548531991e+00 5.008243393715084757e+00 5.000000000000000000e+00
5.778894472361808532e+00 4.564726913795063012e+00 4.893439118608217342e+00 5.000000000000000000e+00
6.030150753768843686e+00 4.603810301308095987e+00 4.798559050009626681e+00 5.000000000000000000e+00
6.281407035175878839e+00 4.664498340168535151e+00 4.721061715539453196e+00 5.000000000000000000e+00
6.532663316582913993e+00 4.742718543734221193e+00 4.658637520449911307e+00 5.000000000000000000e+00
6.783919597989949146e+00 4.834949523744619171e+00 4.609208673041262472e+00 5.000000000000000000e+00
7.035175879396984300e+00 4.938163492168561319e+00 4.570922299937605793e+00 5.000000000000000000e+00
7.286432160804019453e+00 5.049771139645244489e+00 4.542138721521524758e+00 5.000000000000000000e+00
7.537688442211054607e+00 5.167569886327129325e+00 4.521416590461464935e+00 5.000000000000000000e+00
7.788944723618089760e+00 5.289696112032081565e+00 4.507496282822406997e+00 5.000000000000000000e+00
8.040201005025124914e+00 5.414581663208809736e+00 4.499282618009517343e+00 5.000000000000000000e+00
